Feature,Importance
TOX2.1,0.00017324002595687122
LINC01102,0.0001714355165037697
ARHGAP18,0.00016981370261432417
ARHGEF28,0.00016601529218177784
PTPRS,0.00016390613118656653
NTNG1,0.00016118049331007356
SEMA3C,0.0001607204760989685
TPD52L1,0.00015757796807264985
ZNF536,0.00015730525791532847
DCN.3,0.00015701915017809958
NECAB1,0.00015549704308740278
BAGE2.2,0.00015535686016900413
C1ORF21,0.0001543508613833261
ARHGAP42,0.00015414890711977784
COL12A1,0.00015410782060755725
SLIT3,0.0001524358492190115
HTR2C,0.0001488468210223228
ARHGAP18.2,0.0001483689984700654
ADCY8,0.00014810942323296663
CUX2,0.00014777638413399777
SEMA5A,0.00014251054859005144
NRG1.IT1,0.00014177940743852514
PROX1.AS1,0.00014096477984811866
EPHB6,0.00014086995622721024
BCHE,0.00014038849575679046
SLC1A3,0.00013875822789734615
LINC01197,0.00013724230991785712
ARHGAP36.2,0.0001359042662369757
SLC30A3,0.00013541942483576952
ERMN,0.00013225712999025214
HLA.C,0.00013056045089147866
IGSF21,0.00013032375589608843
TMEM132C.1,0.00013026512832669935
MGLL,0.00012893678402259127
POU6F2.1,0.00012890444856050083
RGS8,0.00012761378963714606
LHFPL3.AS1,0.00012479615769153725
GABRA4,0.00012279391770520163
PTN.1,0.00012274480260423054
PTGDS,0.00012073706617149552
ARL4C,0.00011947130124100563
HLA.B.1,0.00011884815119316598
ST3GAL1,0.0001164371181296713
LINC00507,0.00011233588375920251
SLITRK2,0.00011083692399830423
SEMA3C.2,0.00011014004971755697
ELAVL2.1,0.00010671010298486964
PROX1,0.000106042050999317
FAM107B,0.0001058792777670803
SLIT3.2,0.00010435334030031888
BAGE2.3,0.00010374389355689307
HIP1R,0.00010357298849521006
SLITRK2.1,0.00010287898302657339
POU6F2,0.00010272597115324458
BCL11A,0.00010245013058532713
DPYSL3,0.00010187053588050987
MYO1B,0.00010146828488800697
PAX6.1,0.0001000414142690493
ABCB5,9.905309041279477e-05
VAT1L,9.88262188835896e-05
UGT8.2,9.87840945225618e-05
PRSS12,9.815466521213888e-05
SRRM4,9.757095112872225e-05
ARHGEF26.AS1,9.726267708602754e-05
PTPRZ1,9.699949318811845e-05
ELN,9.650353271685206e-05
MAG,9.478445572951404e-05
CARNS1,9.40868169995023e-05
HCRTR2.1,9.171403679667725e-05
